no	date	place	latitude	longitude	deep	mag	intensity	name
73	2016/04/14 22:43:15.1	熊本県熊本地方	32°40.6′N	130°44.3′E	11km	Ｍ4.4	４
74	2016/04/14 22:38:43.5	熊本県熊本地方	32°40.6′N	130°44.1′E	11km	Ｍ5.0	５弱
75	2016/04/14 22:22:18.8	熊本県熊本地方	32°41.2′N	130°44.4′E	12km	Ｍ4.6	４
76	2016/04/14 22:18:04.7	熊本県熊本地方	32°46.5′N	130°49.6′E	9km	Ｍ4.0	４
77	2016/04/14 22:16:08.7	熊本県熊本地方	32°43.2′N	130°48.1′E	6km	Ｍ4.1	４
78	2016/04/14 22:09:34.5	熊本県熊本地方	32°46.5′N	130°51.4′E	9km	Ｍ4.4	４
79	2016/04/14 22:07:35.2	熊本県熊本地方	32°46.5′N	130°50.9′E	8km	Ｍ5.8	６弱
80	2016/04/14 22:06:51.6	熊本県熊本地方	32°42.7′N	130°45.9′E	13km	Ｍ4.6	４
81	2016/04/14 21:43:10.8	熊本県熊本地方	32°43.0′N	130°44.8′E	12km	Ｍ4.1	３
82	2016/04/14 21:42:24.4	熊本県熊本地方	32°43.0′N	130°46.0′E	12km	Ｍ4.9	４
83	2016/04/14 21:41:03.4	熊本県熊本地方	32°40.8′N	130°44.3′E	12km	Ｍ4.0	３
84	2016/04/14 21:28:11.9	熊本県熊本地方	32°40.7′N	130°44.7′E	10km	Ｍ4.1	４
85	2016/04/14 21:26:34.4	熊本県熊本地方	32°44.5′N	130°48.5′E	11km	Ｍ6.5	７
86	2016/04/14 12:26:23.5	十勝沖	41°47.1′N	143°22.4′E	32km	Ｍ4.2	２
